starttime	seconds	ctime	dtime	ttime	wait
Wed Jan 01 19:44:37 2014	1388605477	1	2	2	2
Wed Jan 01 19:44:37 2014	1388605477	0	2	2	2
Wed Jan 01 19:44:37 2014	1388605477	0	2	2	2
Wed Jan 01 19:44:37 2014	1388605477	1	2	3	1
Wed Jan 01 19:44:37 2014	1388605477	1	2	3	1
Wed Jan 01 19:44:37 2014	1388605477	1	2	3	2
Wed Jan 01 19:44:37 2014	1388605477	1	2	3	2
Wed Jan 01 19:44:37 2014	1388605477	0	2	3	2
Wed Jan 01 19:44:37 2014	1388605477	0	2	3	2
Wed Jan 01 19:44:37 2014	1388605477	1	2	3	1
Wed Jan 01 19:44:37 2014	1388605477	0	3	3	2
Wed Jan 01 19:44:37 2014	1388605477	1	2	3	1
Wed Jan 01 19:44:37 2014	1388605477	0	3	3	3
Wed Jan 01 19:44:37 2014	1388605477	1	2	3	2
Wed Jan 01 19:44:38 2014	1388605478	1	2	3	2
Wed Jan 01 19:44:37 2014	1388605477	0	3	3	2
Wed Jan 01 19:44:37 2014	1388605477	1	3	3	2
Wed Jan 01 19:44:37 2014	1388605477	0	3	3	2
Wed Jan 01 19:44:37 2014	1388605477	0	3	3	3
Wed Jan 01 19:44:37 2014	1388605477	1	3	3	2
Wed Jan 01 19:44:37 2014	1388605477	0	3	3	2
Wed Jan 01 19:44:37 2014	1388605477	1	3	3	2
Wed Jan 01 19:44:37 2014	1388605477	0	3	3	3
Wed Jan 01 19:44:37 2014	1388605477	1	3	3	3
Wed Jan 01 19:44:37 2014	1388605477	0	3	3	3
Wed Jan 01 19:44:37 2014	1388605477	0	3	3	3
Wed Jan 01 19:44:37 2014	1388605477	1	3	3	2
Wed Jan 01 19:44:37 2014	1388605477	1	3	3	3
Wed Jan 01 19:44:37 2014	1388605477	1	3	3	2
Wed Jan 01 19:44:37 2014	1388605477	1	3	3	2
Wed Jan 01 19:44:37 2014	1388605477	1	3	4	3
Wed Jan 01 19:44:37 2014	1388605477	1	3	4	3
Wed Jan 01 19:44:39 2014	1388605479	1	3	4	2
Wed Jan 01 19:44:37 2014	1388605477	1	3	4	3
Wed Jan 01 19:44:37 2014	1388605477	0	3	4	3
Wed Jan 01 19:44:37 2014	1388605477	0	3	4	3
Wed Jan 01 19:44:38 2014	1388605478	1	3	4	3
Wed Jan 01 19:44:37 2014	1388605477	0	3	4	3
